Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",14.12.2022
Rahmenvereinbarung im Bereich betriebswirtschaftliche Beratungsleistungen,Rahmenvereinbarung mit mehreren Unternehmen,79410000 Unternehmens- und Managementberatung,0.0,"1,00",14.12.2022
Abrufbestellung einer Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",14.12.2022
Abrufbestellung einer Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",14.12.2022
IT Security Dienstleistungen – Pentester/Security Auditor,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",12.12.2022
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",12.12.2022
Ausbildung Controlling,Controller Institut GmbH  Projektmanagement (Organisation),80511000 Ausbildung des Personals,1.0,"128.205,00",07.12.2022
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"215.940,00",05.12.2022
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"249.345,60",05.12.2022
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"230.336,00",05.12.2022
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",05.12.2022
"Beratungsleistungen hinsichtlich Human Resources, Organisationsentwicklung & Management Assessment",H.I. Executive Consulting GmbH H.I. Executive Consulting GmbH,79410000 Unternehmens- und Managementberatung,2.0,"173.305,10",05.12.2022
Lizenzen & Lizenzwartung bzgl. Produkten des Herstellers Atlassian sowie verbundene Dienstleistungen,Rahmenvereinbarung mit mehreren Unternehmen,48000000 Softwarepaket und Informationssysteme,0.0,"1,00",30.11.2022
"Abruf aus der Rahmenvereinbarung ""Beratungsleistungen in den Bereichen strategische Business IT / strategische IT Integration""",Rahmenvereinbarung mit mehreren Unternehmen,79410000 Unternehmens- und Managementberatung,0.0,"1,00",30.11.2022
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",28.11.2022
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",28.11.2022
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",28.11.2022
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",28.11.2022
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",28.11.2022
Planung und Möblierung Bahnbistro Las5,Derenko Gesellschaft m.b.H.,39100000 Möbel,0.0,"535.385,70",25.11.2022
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",24.11.2022
Entwicklung e-Learnings,Cresign Zone Werbeagentur,80510000 Spezialausbildung,1.0,"51.875,00",24.11.2022
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",22.11.2022
Kran-/Staplerschulungen gem. ÖBB-Bildungskatalog,Easy Drivers Experts GmbH Zentrale,80531000 Industrielle und technische Ausbildung,1.0,"116.765,00",21.11.2022
Sprachtrainings gem. ÖBB-Bildungskatalog,Kern Austria GmbH Sprachen,80580000 Veranstaltung von Sprachkursen,1.0,"120.487,10",21.11.2022
IT Dienstleistungen - DevOps,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",21.11.2022
Abruf der Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3.0,"1,00",21.11.2022
Rahmenvereinbarung KVM Lösung der Fa. WEY,TRIAFLEX Innovative Sitz- und,30236000 Diverse Computerausrüstungen,2.0,"160.595,90",21.11.2022
Lizenzen & Lizenzwartung bzgl. Produkten des Herstellers Atlassian sowie verbundene Dienstleistungen,Rahmenvereinbarung mit mehreren Unternehmen,48000000 Softwarepaket und Informationssysteme,0.0,"1,00",17.11.2022
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",17.11.2022
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",17.11.2022
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",09.11.2022
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",09.11.2022
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",09.11.2022
Rahmenvereinbarung für IT-Arbeitsplatz (DIMACS),ACP TechRent GmbH,30214000 Arbeitsplätze,0.0,"50.711,00",01.11.2022
Rahmenvereinbarung für IT-Arbeitsplatz (DIMACS),ACP TechRent GmbH,30214000 Arbeitsplätze,0.0,"51.283,00",01.11.2022
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"1,00",31.10.2022
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",27.10.2022
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",27.10.2022
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"124.744,22",26.10.2022
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",24.10.2022
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",24.10.2022
Abrufbestellung einer Rahmenvereinbarung,Deutsche Telekom Global Business,72300000 Datendienste,0.0,"62.828,36",24.10.2022
eProcurement 4.0,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,3.0,"1,00",21.10.2022
Consulting - SBA,DI(FH) Michael Kegelreiter Hauptsitz,72220000 Systemberatung und technische Beratung,1.0,"59.200,00",20.10.2022
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"158.112,00",19.10.2022
Bautischlerarbeiten (Mieterausbau LAS5),Schneider & Zima Gesellschaft m.b.H. Schneider & Zima Gesellschaft m.b.H.,70332300 Dienstleistungen für gewerbliche Immobilien,1.0,"78.660,00",18.10.2022
New Work at ÖBB,ICG Integrated Consulting Group GmbH Unternehmensberatung,80530000 Berufsausbildung,8.0,"81.000,00",18.10.2022
New Work at ÖBB,C PLUS Unternehmensberatung GmbH Organisationsentwicklung,80530000 Berufsausbildung,8.0,"48.000,00",18.10.2022
New Work at ÖBB,Sandra Micko Organisationsberatung Beratung,80530000 Berufsausbildung,8.0,"62.100,00",18.10.2022
New Work at ÖBB,next level consulting Österreich Unternehmensberatung,80530000 Berufsausbildung,8.0,"21.180,00",18.10.2022
Abrufbestellung einer Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",17.10.2022
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"53.600,00",17.10.2022
KoFax_Topcall/SMS/Outlook/Fax/Wartung,Kofax Austria GmbH Kofax Austria GmbH,72267100 Wartung von Informationstechnologiesoftware,1.0,"83.838,57",17.10.2022
"Abruf aus der Rahmenvereinbarung ""Beratungsleistungen in den Bereichen strategische Business IT / strategische IT Integration""",Rahmenvereinbarung mit mehreren Unternehmen,79410000 Unternehmens- und Managementberatung,0.0,"1,00",14.10.2022
Abruf aus Rahmenvereinbarung,Gartner Austria GmbH,72222300 Informationstechnologiedienste,2.0,"191.100,00",14.10.2022
Rahmenvereinbarung Multimedia Service,Rahmenvereinbarung mit mehreren Unternehmen,32322000 Multimediaausrüstung,0.0,"1,00",14.10.2022
"Abruf aus der Rahmenvereinbarung ""Beratungsleistungen in den Bereichen strategische Business IT / strategische IT Integration""",Rahmenvereinbarung mit mehreren Unternehmen,79410000 Unternehmens- und Managementberatung,0.0,"1,00",14.10.2022
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",14.10.2022
Abruf aus Rahmenvereinbarung,Bechtle GmbH,48000000 Softwarepaket und Informationssysteme,0.0,"76.000,00",14.10.2022
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",14.10.2022
Rahmenvereinbarung für IT-Arbeitsplatz (DIMACS),ACP TechRent GmbH,30214000 Arbeitsplätze,0.0,"97.437,70",14.10.2022
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"116.914,87",14.10.2022
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",14.10.2022
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",14.10.2022
IT Prototyping,Sclable Business Solutions GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"479.277,00",14.10.2022
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",14.10.2022
Rahmenvereinbarung Multimedia Service,Rahmenvereinbarung mit mehreren Unternehmen,32322000 Multimediaausrüstung,0.0,"1,00",14.10.2022
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",14.10.2022
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",14.10.2022
Abruf der Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3.0,"1,00",14.10.2022
Abrufbestellung einer Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",11.10.2022
Abrufbestellung einer Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",11.10.2022
Erweiterung IBM FS Storage Systeme + Wartung,EDV - Design Informationstechnologie GmbH EDV - Design Informationstechnologie GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"344.000,00",05.10.2022
"Abruf aus der Rahmenvereinbarung ""Beratungsleistungen in den Bereichen strategische Business IT / strategische IT Integration""",Rahmenvereinbarung mit mehreren Unternehmen,79410000 Unternehmens- und Managementberatung,0.0,"1,00",03.10.2022
"Abruf aus der Rahmenvereinbarung ""Beratungsleistungen in den Bereichen strategische Business IT / strategische IT Integration""",Rahmenvereinbarung mit mehreren Unternehmen,79410000 Unternehmens- und Managementberatung,0.0,"1,00",03.10.2022
Citrix Dienstleistungen,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,3.0,"1,00",30.09.2022
Abruf aus Rahmenvereinbarung,Orianda Solutions AG,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"245.150,00",23.09.2022
IT Dienstleistungen - UX Design,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",23.09.2022
Bereitstellung und Befüllung von Verpflegungsautomaten,,55500000 Kantinen- und Verpflegungsdienste,,,21.09.2022
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",20.09.2022
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",20.09.2022
Rahmenvereinbarung Multimedia Service,Rahmenvereinbarung mit mehreren Unternehmen,32322000 Multimediaausrüstung,0.0,"1,00",20.09.2022
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",20.09.2022
Rahmenvereinbarung Multimedia Service,Rahmenvereinbarung mit mehreren Unternehmen,32322000 Multimediaausrüstung,0.0,"1,00",15.09.2022
SAP Service and Asset Manager,SAP Österreich GmbH Zentrale,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"724.847,40",14.09.2022
Rahmenvereinbarung Multimedia Service,Rahmenvereinbarung mit mehreren Unternehmen,32322000 Multimediaausrüstung,0.0,"1,00",14.09.2022
Rahmenvereinbarung für IT-Arbeitsplatz (DIMACS),ACP TechRent GmbH,30214000 Arbeitsplätze,0.0,"51.283,00",13.09.2022
Cloud Contact Center - Anywhere365 Cloud Lizenzen & Support-DL,Solvion information management GmbH  Headquarter,48000000 Softwarepaket und Informationssysteme,1.0,"1.143.700,80",12.09.2022
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3.0,"1,00",12.09.2022
IT Dienstleistungen - DevOps,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",09.09.2022
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",06.09.2022
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"1,00",06.09.2022
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",06.09.2022
IBM Power Plattform,SoftwareONE Österreich GmbH,48820000 Server,0.0,"186.916,74",06.09.2022
Rahmenvereinbarung KVM Lösung der Fa. WEY,TRIAFLEX Innovative Sitz- und,30236000 Diverse Computerausrüstungen,2.0,"112.971,90",06.09.2022
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"75.520,00",06.09.2022
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",06.09.2022
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",30.08.2022
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",30.08.2022
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",30.08.2022
Rahmenvereinbarung über SAN Directoren,K-Businesscom AG,30210000 Datenverarbeitungsgeräte (Hardware),4.0,"1.879.950,83",30.08.2022
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",29.08.2022
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",29.08.2022
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",29.08.2022
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",29.08.2022
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",29.08.2022
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",26.08.2022
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",26.08.2022
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",26.08.2022
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",26.08.2022
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",24.08.2022
Lizenzen & Lizenzwartung bzgl. Produkten des Herstellers Atlassian sowie verbundene Dienstleistungen,Rahmenvereinbarung mit mehreren Unternehmen,48000000 Softwarepaket und Informationssysteme,0.0,"1,00",23.08.2022
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"69.856,00",23.08.2022
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",23.08.2022
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",23.08.2022
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",23.08.2022
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",23.08.2022
